가해자차종,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,01,10100,85,2478,11706,823
승합차,01,874,18,276,939,72
화물차,01,1817,54,499,1869,133
특수차,01,68,1,21,66,9
이륜차,01,916,17,288,721,124
사륜오토바이(ATV),01,13,3,7,4,2
원동기장치자전거,01,128,1,43,92,22
자전거,01,167,3,52,87,33
개인형이동장치(PM),01,82,1,24,40,22
건설기계,01,128,6,40,129,6
농기계,01,9,1,5,6,0
기타/불명,01,178,0,15,130,43
승용차,02,8982,86,2265,10257,674
승합차,02,775,7,246,780,92
화물차,02,1703,45,528,1794,131
특수차,02,89,5,24,105,2
이륜차,02,886,20,295,716,158
사륜오토바이(ATV),02,20,2,7,10,2
원동기장치자전거,02,106,2,35,81,19
자전거,02,250,4,79,130,53
개인형이동장치(PM),02,103,2,31,64,12
건설기계,02,157,3,38,173,6
농기계,02,9,5,3,2,0
기타/불명,02,204,0,17,151,61
승용차,03,10631,84,2549,12049,736
승합차,03,953,8,254,950,89
화물차,03,1991,40,548,2137,122
특수차,03,119,4,39,147,8
이륜차,03,1147,32,347,926,174
사륜오토바이(ATV),03,21,2,8,12,1
원동기장치자전거,03,147,4,50,124,23
자전거,03,416,6,136,226,89
개인형이동장치(PM),03,146,0,40,87,28
건설기계,03,193,3,45,238,7
농기계,03,29,4,12,21,3
기타/불명,03,207,0,21,145,67
승용차,04,10759,84,2721,12357,853
승합차,04,1030,11,311,1055,104
화물차,04,1985,39,635,2088,205
특수차,04,95,1,32,112,9
이륜차,04,1239,28,375,1060,193
사륜오토바이(ATV),04,21,0,15,13,0
원동기장치자전거,04,170,1,39,123,44
자전거,04,466,7,139,265,99
개인형이동장치(PM),04,192,2,48,144,33
건설기계,04,159,4,56,173,8
농기계,04,27,4,10,14,1
기타/불명,04,193,1,25,133,57
승용차,05,11410,90,2810,13157,964
승합차,05,1005,8,331,1111,132
화물차,05,2138,57,687,2279,156
특수차,05,101,3,19,109,10
이륜차,05,1345,26,419,1102,221
사륜오토바이(ATV),05,32,3,12,21,3
원동기장치자전거,05,194,0,68,140,32
자전거,05,613,6,183,349,145
개인형이동장치(PM),05,248,2,71,167,35
건설기계,05,199,5,58,246,10
농기계,05,38,3,20,17,4
기타/불명,05,229,0,30,153,69
승용차,06,10832,100,2750,12127,848
승합차,06,968,5,295,1141,175
화물차,06,2046,43,591,2217,148
특수차,06,111,1,36,131,8
이륜차,06,1275,23,438,1046,205
사륜오토바이(ATV),06,26,2,10,16,5
원동기장치자전거,06,175,4,56,141,21
자전거,06,599,6,166,357,159
개인형이동장치(PM),06,280,4,64,164,75
건설기계,06,182,8,46,199,3
농기계,06,36,6,11,18,7
기타/불명,06,186,0,19,133,51
승용차,07,11043,93,2703,12751,968
승합차,07,934,9,276,962,113
화물차,07,1982,31,574,2092,143
특수차,07,99,4,24,106,9
이륜차,07,1261,41,393,966,208
사륜오토바이(ATV),07,23,7,5,12,3
원동기장치자전거,07,175,3,61,126,21
자전거,07,451,3,128,263,101
개인형이동장치(PM),07,258,4,74,151,51
건설기계,07,148,6,39,154,10
농기계,07,27,4,10,19,0
기타/불명,07,177,0,22,115,60
승용차,08,11463,111,2846,13268,975
승합차,08,960,12,299,1025,96
화물차,08,2035,68,648,2124,164
특수차,08,105,2,29,126,7
이륜차,08,1291,23,411,1073,211
사륜오토바이(ATV),08,24,1,7,18,2
원동기장치자전거,08,193,7,62,142,39
자전거,08,513,6,156,277,120
개인형이동장치(PM),08,261,3,75,152,72
건설기계,08,173,9,50,204,13
농기계,08,21,4,8,10,5
기타/불명,08,173,0,31,120,48
승용차,09,11787,99,3003,13233,1043
승합차,09,1058,15,335,1277,117
화물차,09,2212,56,712,2312,165
특수차,09,86,2,22,104,7
이륜차,09,1346,41,408,1111,228
사륜오토바이(ATV),09,18,2,6,13,1
원동기장치자전거,09,180,4,53,137,30
자전거,09,504,6,154,271,123
개인형이동장치(PM),09,237,2,58,145,61
건설기계,09,186,6,52,199,8
농기계,09,31,6,13,15,2
기타/불명,09,215,0,24,138,71
승용차,10,11196,125,3005,12362,892
승합차,10,1063,14,367,1180,128
화물차,10,2110,66,728,2126,140
특수차,10,103,5,27,120,2
이륜차,10,1350,31,447,1161,194
사륜오토바이(ATV),10,17,3,8,8,1
원동기장치자전거,10,170,3,55,153,21
자전거,10,587,7,197,305,151
개인형이동장치(PM),10,279,4,72,178,48
건설기계,10,202,3,61,222,13
농기계,10,31,4,9,27,2
기타/불명,10,225,0,24,150,69
승용차,11,11897,134,3062,13041,937
승합차,11,1122,14,364,1418,162
화물차,11,2274,58,700,2349,202
특수차,11,118,2,27,140,14
이륜차,11,1204,28,384,1015,171
사륜오토바이(ATV),11,28,1,14,18,2
원동기장치자전거,11,130,6,43,109,16
자전거,11,363,8,119,192,74
개인형이동장치(PM),11,174,0,40,118,36
건설기계,11,188,2,59,180,14
농기계,11,22,4,8,13,1
기타/불명,11,228,0,29,155,72
승용차,12,11821,109,2846,13320,1000
승합차,12,1073,15,322,1258,110
화물차,12,2116,38,606,2145,151
특수차,12,120,1,36,127,7
이륜차,12,1115,17,358,874,193
사륜오토바이(ATV),12,19,3,11,6,0
원동기장치자전거,12,162,1,54,120,26
자전거,12,217,2,60,112,54
개인형이동장치(PM),12,129,0,40,76,26
건설기계,12,173,5,43,218,12
농기계,12,10,3,3,4,0
기타/불명,12,242,0,29,166,67
