가해자차종,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,01,11547,135,3274,13554,951
승합차,01,1035,14,404,1143,158
화물차,01,2105,63,747,2262,160
특수차,01,108,2,24,110,6
이륜차,01,1249,35,382,969,222
사륜오토바이(ATV),01,21,5,11,13,3
원동기장치자전거,01,128,8,34,99,27
자전거,01,275,4,80,145,59
개인형이동수단(PM),01,22,0,9,16,2
건설기계,01,150,6,55,140,9
농기계,01,18,5,3,13,0
기타,01,19,0,6,9,4
불명,01,291,0,34,223,82
승용차,02,11002,107,2871,12656,895
승합차,02,951,15,311,1004,79
화물차,02,2025,56,651,2069,146
특수차,02,83,8,33,111,5
이륜차,02,1313,26,380,1026,260
사륜오토바이(ATV),02,17,0,11,11,2
원동기장치자전거,02,156,2,50,115,27
자전거,02,243,2,61,136,62
개인형이동수단(PM),02,36,1,8,15,13
건설기계,02,159,3,41,165,8
농기계,02,8,2,3,4,0
기타,02,12,0,3,8,1
불명,02,280,0,40,210,67
승용차,03,9804,118,2727,11324,723
승합차,03,684,13,238,708,43
화물차,03,2030,52,650,2253,111
특수차,03,106,4,42,98,2
이륜차,03,1289,32,411,1023,228
사륜오토바이(ATV),03,25,4,11,15,0
원동기장치자전거,03,170,1,63,125,33
자전거,03,366,6,102,206,90
개인형이동수단(PM),03,31,0,11,19,6
건설기계,03,183,5,52,199,8
농기계,03,27,4,10,19,1
기타,03,13,0,5,8,1
불명,03,221,0,34,158,66
승용차,04,10455,111,2960,12200,798
승합차,04,776,12,273,810,46
화물차,04,2154,38,746,2297,115
특수차,04,94,1,34,100,6
이륜차,04,1464,36,471,1166,271
사륜오토바이(ATV),04,19,2,4,13,4
원동기장치자전거,04,192,1,66,142,22
자전거,04,505,6,152,282,119
개인형이동수단(PM),04,56,1,13,32,18
건설기계,04,204,3,76,236,7
농기계,04,25,2,11,14,3
기타,04,14,0,3,14,4
불명,04,228,0,35,153,65
승용차,05,11729,90,3317,13707,923
승합차,05,926,20,357,968,82
화물차,05,2304,58,802,2399,169
특수차,05,96,1,43,94,8
이륜차,05,1570,58,496,1278,283
사륜오토바이(ATV),05,33,3,13,15,5
원동기장치자전거,05,257,4,81,195,53
자전거,05,620,8,190,368,129
개인형이동수단(PM),05,67,0,20,43,14
건설기계,05,229,6,82,251,18
농기계,05,48,6,22,27,2
기타,05,17,0,8,9,4
불명,05,288,0,39,209,68
승용차,06,12343,112,3460,14338,947
승합차,06,930,14,314,948,76
화물차,06,2416,64,870,2593,158
특수차,06,98,1,37,114,6
이륜차,06,1683,40,528,1321,332
사륜오토바이(ATV),06,32,1,13,16,5
원동기장치자전거,06,239,7,74,196,42
자전거,06,647,6,193,371,153
개인형이동수단(PM),06,63,1,13,43,12
건설기계,06,245,4,66,262,17
농기계,06,30,3,13,22,2
기타,06,28,1,5,24,6
불명,06,263,0,28,188,74
승용차,07,12044,124,3251,14030,928
승합차,07,945,10,310,1134,94
화물차,07,2215,54,737,2418,198
특수차,07,77,0,22,92,7
이륜차,07,1566,25,484,1299,286
사륜오토바이(ATV),07,22,1,11,9,4
원동기장치자전거,07,260,4,91,199,44
자전거,07,620,9,176,340,165
개인형이동수단(PM),07,98,1,22,62,19
건설기계,07,142,9,45,149,4
농기계,07,25,2,11,17,3
기타,07,16,1,5,13,1
불명,07,272,0,42,171,76
승용차,08,11540,147,3235,13662,938
승합차,08,823,12,264,985,56
화물차,08,2241,72,755,2409,173
특수차,08,87,3,32,88,8
이륜차,08,1689,37,529,1366,308
사륜오토바이(ATV),08,31,1,12,13,8
원동기장치자전거,08,253,5,77,190,46
자전거,08,417,9,122,246,83
개인형이동수단(PM),08,86,0,22,50,24
건설기계,08,152,3,36,209,5
농기계,08,34,6,8,21,3
기타,08,16,0,4,9,3
불명,08,247,0,27,162,76
승용차,09,11520,127,3106,13170,839
승합차,09,831,14,247,893,88
화물차,09,2426,67,782,2496,151
특수차,09,114,4,36,116,7
이륜차,09,1642,48,559,1268,246
사륜오토바이(ATV),09,29,3,12,15,2
원동기장치자전거,09,256,9,88,183,43
자전거,09,658,13,217,349,152
개인형이동수단(PM),09,109,0,34,66,20
건설기계,09,215,13,67,226,11
농기계,09,33,3,11,19,7
기타,09,17,0,5,8,4
불명,09,274,0,30,192,74
승용차,10,12295,136,3433,14503,902
승합차,10,905,10,294,897,58
화물차,10,2452,69,820,2619,140
특수차,10,100,4,26,101,6
이륜차,10,1731,46,509,1515,290
사륜오토바이(ATV),10,34,6,12,26,3
원동기장치자전거,10,267,7,80,186,53
자전거,10,635,6,182,355,148
개인형이동수단(PM),10,163,4,38,114,32
건설기계,10,284,11,95,310,13
농기계,10,65,9,22,52,6
기타,10,32,1,6,22,6
불명,10,292,0,37,200,79
승용차,11,11978,121,3288,13705,811
승합차,11,939,17,300,1037,59
화물차,11,2430,60,780,2674,160
특수차,11,116,5,35,135,16
이륜차,11,1573,30,534,1280,257
사륜오토바이(ATV),11,23,2,5,22,5
원동기장치자전거,11,250,5,72,191,46
자전거,11,413,8,116,222,99
개인형이동수단(PM),11,110,2,30,63,23
건설기계,11,249,7,81,255,6
농기계,11,37,4,9,37,2
기타,11,25,0,8,16,3
불명,11,295,0,37,195,84
승용차,12,10621,82,2794,11869,751
승합차,12,718,14,255,757,47
화물차,12,2265,68,641,2361,143
특수차,12,98,5,22,106,6
이륜차,12,1511,26,394,1207,295
사륜오토바이(ATV),12,18,2,7,11,1
원동기장치자전거,12,246,3,66,182,51
자전거,12,268,6,69,145,66
개인형이동수단(PM),12,56,0,14,37,8
건설기계,12,226,7,75,238,13
농기계,12,17,3,7,13,0
기타,12,10,0,4,5,3
불명,12,276,0,33,190,73
