가해자차종,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
승용차,01,10734,98,2754,12346,735
승합차,01,781,5,245,782,62
화물차,01,2020,43,621,2176,118
특수차,01,89,3,29,111,3
이륜차,01,1360,25,393,1120,213
사륜오토바이(ATV),01,15,1,4,13,2
원동기장치자전거,01,155,6,35,119,31
자전거,01,253,5,71,154,55
개인형이동장치(PM),01,74,0,10,59,14
건설기계,01,182,5,48,199,10
농기계,01,13,2,4,11,0
기타/불명,01,218,0,22,169,53
승용차,02,8289,73,2047,9484,610
승합차,02,669,10,219,668,51
화물차,02,1523,38,465,1589,100
특수차,02,76,2,28,90,18
이륜차,02,1070,20,348,864,164
사륜오토바이(ATV),02,20,2,5,11,5
원동기장치자전거,02,149,5,41,122,17
자전거,02,201,5,64,98,49
개인형이동장치(PM),02,52,0,18,30,8
건설기계,02,135,4,41,131,6
농기계,02,12,2,5,6,0
기타/불명,02,166,0,20,116,50
승용차,03,9018,80,2254,9997,575
승합차,03,671,10,199,670,36
화물차,03,1667,44,491,1723,86
특수차,03,74,4,19,74,4
이륜차,03,1233,26,415,1034,175
사륜오토바이(ATV),03,15,2,7,11,0
원동기장치자전거,03,144,5,45,99,22
자전거,03,338,5,97,196,71
개인형이동장치(PM),03,103,2,32,60,22
건설기계,03,168,4,58,170,4
농기계,03,21,1,9,12,2
기타/불명,03,168,0,14,130,40
승용차,04,10729,95,2718,12440,791
승합차,04,840,6,277,929,76
화물차,04,2060,41,658,2246,130
특수차,04,110,6,31,108,7
이륜차,04,1414,39,440,1177,228
사륜오토바이(ATV),04,33,4,8,21,1
원동기장치자전거,04,181,2,65,142,22
자전거,04,489,14,137,296,107
개인형이동장치(PM),04,195,0,56,139,34
건설기계,04,201,6,52,206,12
농기계,04,27,2,19,15,1
기타/불명,04,193,1,17,154,39
승용차,05,11595,77,2951,13346,910
승합차,05,960,10,288,1007,85
화물차,05,2169,65,659,2277,148
특수차,05,106,5,37,122,7
이륜차,05,1525,44,453,1269,207
사륜오토바이(ATV),05,23,1,9,14,1
원동기장치자전거,05,194,5,61,165,35
자전거,05,736,12,232,403,182
개인형이동장치(PM),05,244,6,70,157,46
건설기계,05,229,4,64,235,10
농기계,05,52,6,19,39,6
기타/불명,05,232,0,29,173,56
승용차,06,10713,85,2707,12176,849
승합차,06,900,16,254,948,104
화물차,06,1967,56,628,2074,102
특수차,06,95,2,16,140,6
이륜차,06,1349,42,421,1124,200
사륜오토바이(ATV),06,22,2,9,10,1
원동기장치자전거,06,156,5,52,116,27
자전거,06,595,11,180,346,131
개인형이동장치(PM),06,301,4,90,192,67
건설기계,06,155,1,46,160,5
농기계,06,35,7,12,25,1
기타/불명,06,193,0,23,140,47
승용차,07,11162,114,2750,13138,849
승합차,07,881,7,263,1007,92
화물차,07,2025,50,565,2213,163
특수차,07,82,3,23,86,5
이륜차,07,1430,37,468,1148,250
사륜오토바이(ATV),07,26,1,12,15,5
원동기장치자전거,07,196,3,64,144,36
자전거,07,591,10,179,359,106
개인형이동장치(PM),07,318,4,79,222,60
건설기계,07,172,6,59,178,10
농기계,07,27,6,12,17,2
기타/불명,07,205,0,25,150,58
승용차,08,10763,101,2634,12659,807
승합차,08,903,14,267,1055,100
화물차,08,2069,62,600,2265,121
특수차,08,109,2,20,120,6
이륜차,08,1360,28,449,1121,219
사륜오토바이(ATV),08,30,4,19,12,3
원동기장치자전거,08,163,3,50,140,22
자전거,08,440,5,116,250,112
개인형이동장치(PM),08,256,4,60,175,44
건설기계,08,161,7,39,187,7
농기계,08,34,11,12,17,1
기타/불명,08,208,1,35,157,53
승용차,09,11224,113,2690,13068,888
승합차,09,952,15,270,998,78
화물차,09,2148,63,648,2290,163
특수차,09,100,2,25,118,10
이륜차,09,1282,38,400,1077,171
사륜오토바이(ATV),09,26,2,14,12,2
원동기장치자전거,09,200,3,65,157,33
자전거,09,558,10,177,313,110
개인형이동장치(PM),09,262,2,62,176,58
건설기계,09,172,4,44,203,7
농기계,09,35,5,10,25,4
기타/불명,09,257,0,43,178,57
승용차,10,12104,132,2931,14176,950
승합차,10,1070,13,375,1078,110
화물차,10,2273,59,652,2536,155
특수차,10,92,4,31,109,3
이륜차,10,1482,46,490,1182,227
사륜오토바이(ATV),10,27,3,7,14,4
원동기장치자전거,10,209,4,62,182,28
자전거,10,524,4,155,306,96
개인형이동장치(PM),10,269,1,71,167,60
건설기계,10,221,10,69,261,26
농기계,10,34,9,11,19,4
기타/불명,10,203,0,29,149,50
승용차,11,11575,117,2760,12954,911
승합차,11,1027,20,308,1085,98
화물차,11,2187,58,667,2374,137
특수차,11,122,3,29,142,7
이륜차,11,1340,31,416,1081,221
사륜오토바이(ATV),11,18,4,7,7,3
원동기장치자전거,11,190,8,61,149,29
자전거,11,439,5,136,216,115
개인형이동장치(PM),11,215,2,60,146,34
건설기계,11,198,5,56,198,12
농기계,11,32,4,14,20,5
기타/불명,11,235,0,30,189,66
승용차,12,11803,114,2623,13830,881
승합차,12,1010,18,313,1200,114
화물차,12,2125,51,590,2331,161
특수차,12,93,2,25,102,4
이륜차,12,1087,26,310,895,182
사륜오토바이(ATV),12,11,1,5,6,1
원동기장치자전거,12,160,6,53,121,25
자전거,12,229,5,64,131,46
개인형이동장치(PM),12,97,1,22,63,21
건설기계,12,181,7,45,212,6
농기계,12,8,3,0,7,0
기타/불명,12,225,0,25,167,62
