"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","11820","175","4461","13196","976"
"승용차","02","10931","156","4023","12311","1009"
"승용차","03","12183","158","4474","13153","1061"
"승용차","04","13102","170","4838","14332","1124"
"승용차","05","12806","149","4713","13878","1107"
"승용차","06","11561","156","4239","12485","976"
"승용차","07","12321","165","4332","13780","1137"
"승용차","08","11972","162","4398","13356","1083"
"승용차","09","11837","182","4210","13201","1044"
"승용차","10","13107","216","4741","14265","1131"
"승용차","11","12904","203","4611","13971","1057"
"승용차","12","13148","225","4650","14339","1115"
"승합차","01","1180","30","561","1313","157"
"승합차","02","997","22","447","1014","99"
"승합차","03","1189","21","510","1178","143"
"승합차","04","1252","20","609","1358","136"
"승합차","05","1258","26","536","1351","148"
"승합차","06","1166","14","498","1333","146"
"승합차","07","1197","22","508","1340","122"
"승합차","08","1126","22","497","1305","156"
"승합차","09","1107","26","428","1150","97"
"승합차","10","1277","36","560","1357","161"
"승합차","11","1218","21","542","1308","115"
"승합차","12","1142","23","479","1208","205"
"화물차","01","2098","74","968","2149","149"
"화물차","02","1887","69","853","1949","130"
"화물차","03","2106","58","888","2094","172"
"화물차","04","2249","79","1011","2274","149"
"화물차","05","2304","80","1081","2395","164"
"화물차","06","2224","76","954","2218","196"
"화물차","07","2285","79","1051","2316","173"
"화물차","08","2254","73","1013","2318","183"
"화물차","09","2051","68","907","2021","182"
"화물차","10","2416","106","1055","2443","194"
"화물차","11","2472","99","1095","2500","174"
"화물차","12","2230","91","929","2266","180"
"특수차","01","86","3","46","82","10"
"특수차","02","70","4","33","52","10"
"특수차","03","81","2","34","74","14"
"특수차","04","70","4","37","58","5"
"특수차","05","86","2","34","90","7"
"특수차","06","69","7","44","70","25"
"특수차","07","73","0","22","83","6"
"특수차","08","89","5","42","88","3"
"특수차","09","85","4","27","104","8"
"특수차","10","82","4","41","76","9"
"특수차","11","81","3","28","96","6"
"특수차","12","79","6","34","82","3"
"이륜차","01","802","26","248","528","183"
"이륜차","02","765","14","259","486","151"
"이륜차","03","1011","33","353","643","192"
"이륜차","04","1156","52","411","746","228"
"이륜차","05","1195","41","464","753","215"
"이륜차","06","1206","36","442","785","241"
"이륜차","07","1293","39","470","852","254"
"이륜차","08","1208","35","415","858","213"
"이륜차","09","1116","42","367","787","230"
"이륜차","10","1240","38","472","779","250"
"이륜차","11","1116","41","393","729","219"
"이륜차","12","968","31","323","633","201"
"원동기장치자전거","01","369","20","127","231","69"
"원동기장치자전거","02","351","13","129","221","58"
"원동기장치자전거","03","439","11","155","309","81"
"원동기장치자전거","04","512","13","196","329","82"
"원동기장치자전거","05","622","21","242","379","121"
"원동기장치자전거","06","495","12","169","305","93"
"원동기장치자전거","07","578","20","204","366","123"
"원동기장치자전거","08","571","17","188","385","118"
"원동기장치자전거","09","495","16","179","318","79"
"원동기장치자전거","10","574","15","242","341","90"
"원동기장치자전거","11","472","15","180","307","77"
"원동기장치자전거","12","428","13","147","281","70"
"자전거","01","237","4","67","111","68"
"자전거","02","218","1","64","107","54"
"자전거","03","402","8","123","184","109"
"자전거","04","570","6","188","296","135"
"자전거","05","656","12","184","332","172"
"자전거","06","697","6","199","378","171"
"자전거","07","606","15","181","314","153"
"자전거","08","620","9","190","326","153"
"자전거","09","668","21","218","349","173"
"자전거","10","587","9","155","293","161"
"자전거","11","388","14","113","191","92"
"자전거","12","287","8","84","137","67"
"건설기계","01","174","4","62","203","10"
"건설기계","02","148","8","62","173","3"
"건설기계","03","206","14","84","207","20"
"건설기계","04","189","2","74","179","24"
"건설기계","05","231","9","100","236","44"
"건설기계","06","199","4","87","205","8"
"건설기계","07","209","7","87","256","12"
"건설기계","08","223","5","83","236","32"
"건설기계","09","179","10","85","186","25"
"건설기계","10","243","7","97","267","19"
"건설기계","11","246","16","91","248","13"
"건설기계","12","235","8","92","260","16"
"농기계","01","13","0","6","10","1"
"농기계","02","14","4","4","9","1"
"농기계","03","29","5","5","23","4"
"농기계","04","45","7","18","23","9"
"농기계","05","64","7","27","40","3"
"농기계","06","55","10","21","30","6"
"농기계","07","52","11","26","24","20"
"농기계","08","48","8","18","27","5"
"농기계","09","28","6","18","18","4"
"농기계","10","43","9","14","27","4"
"농기계","11","35","4","17","21","0"
"농기계","12","17","2","3","19","1"
"불명","01","288","0","57","207","67"
"불명","02","283","1","58","191","61"
"불명","03","300","0","55","194","73"
"불명","04","307","0","42","220","85"
"불명","05","332","0","63","213","80"
"불명","06","305","0","65","201","78"
"불명","07","341","0","60","246","68"
"불명","08","287","0","48","209","71"
"불명","09","317","0","52","210","84"
"불명","10","349","0","58","258","75"
"불명","11","302","0","41","212","73"
"불명","12","335","1","50","246","72"
