"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","11364","208","4830","12626","716"
"승용차","02","10020","203","4264","11233","613"
"승용차","03","11905","185","5121","12445","763"
"승용차","04","12142","196","5262","13017","909"
"승용차","05","13000","202","5626","13700","848"
"승용차","06","11862","201","5025","12555","818"
"승용차","07","12332","213","5202","13355","835"
"승용차","08","12328","189","5286","13880","883"
"승용차","09","11847","240","5031","12703","847"
"승용차","10","12832","229","5578","13059","900"
"승용차","11","12774","229","5415","13273","893"
"승용차","12","12050","243","4994","12973","825"
"승합차","01","1196","37","671","1275","127"
"승합차","02","1110","39","582","1190","63"
"승합차","03","1259","27","665","1436","74"
"승합차","04","1360","20","751","1449","137"
"승합차","05","1432","29","727","1458","133"
"승합차","06","1214","26","617","1383","122"
"승합차","07","1303","31","733","1589","139"
"승합차","08","1288","18","664","1380","112"
"승합차","09","1216","23","614","1240","104"
"승합차","10","1448","40","794","1509","153"
"승합차","11","1466","46","737","1483","98"
"승합차","12","1253","37","677","1300","159"
"화물차","01","2100","94","1071","2004","129"
"화물차","02","1749","61","883","1719","103"
"화물차","03","2230","113","1160","2132","149"
"화물차","04","2306","101","1161","2296","145"
"화물차","05","2401","83","1259","2259","156"
"화물차","06","2320","94","1195","2290","161"
"화물차","07","2340","103","1162","2275","128"
"화물차","08","2297","99","1258","2321","124"
"화물차","09","2185","76","1083","2185","139"
"화물차","10","2681","111","1401","2552","142"
"화물차","11","2747","121","1382","2672","169"
"화물차","12","2294","113","1193","2218","125"
"특수차","01","82","8","46","86","4"
"특수차","02","63","1","51","62","3"
"특수차","03","78","2","59","52","6"
"특수차","04","70","7","33","73","3"
"특수차","05","79","7","55","84","2"
"특수차","06","75","4","43","64","2"
"특수차","07","72","8","52","94","3"
"특수차","08","70","0","36","65","7"
"특수차","09","55","7","21","45","1"
"특수차","10","74","1","38","75","5"
"특수차","11","77","5","42","61","14"
"특수차","12","70","8","43","76","2"
"이륜차","01","489","15","196","269","88"
"이륜차","02","513","15","222","302","82"
"이륜차","03","846","40","337","520","153"
"이륜차","04","887","28","389","537","122"
"이륜차","05","1018","41","466","614","189"
"이륜차","06","1122","45","471","674","201"
"이륜차","07","949","41","420","524","170"
"이륜차","08","1012","46","422","573","186"
"이륜차","09","941","32","399","551","178"
"이륜차","10","1037","47","465","586","184"
"이륜차","11","892","31","391","542","150"
"이륜차","12","727","32","296","379","131"
"원동기장치자전거","01","278","14","107","163","46"
"원동기장치자전거","02","280","9","109","167","46"
"원동기장치자전거","03","413","11","177","251","68"
"원동기장치자전거","04","424","9","197","231","59"
"원동기장치자전거","05","605","29","282","333","84"
"원동기장치자전거","06","606","22","253","360","102"
"원동기장치자전거","07","551","22","264","325","81"
"원동기장치자전거","08","648","29","273","386","110"
"원동기장치자전거","09","581","21","252","319","96"
"원동기장치자전거","10","622","24","269","357","111"
"원동기장치자전거","11","540","16","220","322","95"
"원동기장치자전거","12","400","7","155","206","94"
"자전거","01","81","4","30","30","18"
"자전거","02","102","2","28","59","21"
"자전거","03","237","8","90","107","47"
"자전거","04","352","3","116","156","104"
"자전거","05","534","8","198","250","125"
"자전거","06","559","15","192","289","127"
"자전거","07","393","9","133","188","90"
"자전거","08","497","13","182","226","118"
"자전거","09","498","9","176","241","108"
"자전거","10","509","17","163","243","119"
"자전거","11","317","6","128","139","64"
"자전거","12","170","7","54","74","39"
"건설기계","01","136","5","87","133","5"
"건설기계","02","102","3","66","100","3"
"건설기계","03","174","10","115","178","7"
"건설기계","04","168","10","81","195","14"
"건설기계","05","199","11","138","216","16"
"건설기계","06","185","11","107","195","13"
"건설기계","07","158","11","86","163","10"
"건설기계","08","182","9","82","169","15"
"건설기계","09","137","8","74","147","6"
"건설기계","10","181","13","94","221","12"
"건설기계","11","168","14","90","155","4"
"건설기계","12","165","9","96","186","7"
"농기계","01","9","4","3","5","0"
"농기계","02","12","1","5","7","0"
"농기계","03","38","12","10","18","6"
"농기계","04","33","5","8","28","2"
"농기계","05","41","9","14","18","5"
"농기계","06","57","17","28","24","5"
"농기계","07","44","5","22","15","5"
"농기계","08","56","8","25","36","8"
"농기계","09","52","14","18","29","5"
"농기계","10","67","13","25","32","4"
"농기계","11","39","9","16","17","5"
"농기계","12","15","2","8","8","1"
"불명","01","281","0","70","210","49"
"불명","02","236","1","56","171","45"
"불명","03","285","1","76","203","36"
"불명","04","289","1","65","204","51"
"불명","05","377","1","96","266","59"
"불명","06","329","1","76","233","48"
"불명","07","299","1","70","207","47"
"불명","08","313","1","82","224","57"
"불명","09","294","0","73","206","47"
"불명","10","346","4","88","271","57"
"불명","11","376","2","87","262","60"
"불명","12","365","1","109","271","50"
