"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","10998","216","4641","11877","722"
"승용차","02","9753","169","4064","10583","664"
"승용차","03","12517","200","4969","13487","893"
"승용차","04","12212","170","4875","12919","876"
"승용차","05","13147","176","5436","13950","1093"
"승용차","06","11933","170","4876","12814","926"
"승용차","07","12788","201","5220","13675","1049"
"승용차","08","12922","178","5290","14684","1060"
"승용차","09","12373","193","4984","13442","1068"
"승용차","10","13470","235","5502","14130","1028"
"승용차","11","13116","241","5121","13854","1034"
"승용차","12","12841","231","4852","13770","1083"
"승합차","01","1165","34","596","1188","111"
"승합차","02","1029","21","561","1109","94"
"승합차","03","1317","38","690","1385","133"
"승합차","04","1277","33","687","1301","140"
"승합차","05","1329","29","685","1522","177"
"승합차","06","1236","19","613","1323","149"
"승합차","07","1363","33","694","1433","128"
"승합차","08","1315","29","637","1402","131"
"승합차","09","1382","30","759","1433","116"
"승합차","10","1422","28","769","1682","173"
"승합차","11","1399","28","638","1463","109"
"승합차","12","1389","34","639","1444","145"
"화물차","01","2076","93","1005","2106","119"
"화물차","02","1717","68","777","1704","121"
"화물차","03","2245","57","1092","2166","128"
"화물차","04","2341","72","1120","2182","132"
"화물차","05","2527","89","1215","2499","174"
"화물차","06","2315","73","1076","2260","156"
"화물차","07","2358","85","1151","2373","161"
"화물차","08","2407","83","1167","2578","180"
"화물차","09","2391","108","1143","2321","148"
"화물차","10","2735","115","1347","2632","200"
"화물차","11","2634","131","1224","2696","199"
"화물차","12","2504","99","1117","2555","194"
"특수차","01","69","8","28","81","2"
"특수차","02","51","4","29","48","1"
"특수차","03","54","3","23","45","7"
"특수차","04","78","5","42","81","7"
"특수차","05","83","8","46","72","4"
"특수차","06","78","2","36","77","3"
"특수차","07","84","3","41","85","12"
"특수차","08","72","2","36","74","2"
"특수차","09","74","8","40","98","2"
"특수차","10","86","8","34","109","2"
"특수차","11","73","2","36","66","4"
"특수차","12","77","3","26","86","4"
"이륜차","01","630","19","249","363","111"
"이륜차","02","639","31","253","363","113"
"이륜차","03","943","28","379","608","150"
"이륜차","04","962","26","378","593","171"
"이륜차","05","1241","44","487","739","234"
"이륜차","06","1108","36","456","648","231"
"이륜차","07","1159","34","466","699","223"
"이륜차","08","1066","23","422","630","236"
"이륜차","09","1083","52","447","592","232"
"이륜차","10","1144","43","462","648","240"
"이륜차","11","1040","32","406","606","205"
"이륜차","12","743","24","269","426","164"
"원동기장치자전거","01","389","9","174","217","61"
"원동기장치자전거","02","334","17","106","218","69"
"원동기장치자전거","03","472","15","176","277","81"
"원동기장치자전거","04","528","14","214","298","101"
"원동기장치자전거","05","647","17","258","389","111"
"원동기장치자전거","06","618","29","230","354","109"
"원동기장치자전거","07","701","28","284","358","150"
"원동기장치자전거","08","665","20","256","376","132"
"원동기장치자전거","09","681","25","265","400","119"
"원동기장치자전거","10","665","20","245","387","147"
"원동기장치자전거","11","541","18","200","315","114"
"원동기장치자전거","12","414","9","135","237","101"
"자전거","01","174","4","62","82","37"
"자전거","02","191","3","65","91","35"
"자전거","03","345","6","114","164","85"
"자전거","04","514","7","176","248","116"
"자전거","05","706","12","239","355","163"
"자전거","06","684","12","224","310","186"
"자전거","07","681","10","216","347","168"
"자전거","08","641","4","230","293","165"
"자전거","09","723","10","241","337","192"
"자전거","10","632","9","227","310","144"
"자전거","11","466","9","158","209","120"
"자전거","12","218","7","57","98","64"
"건설기계","01","120","1","62","122","5"
"건설기계","02","109","8","62","92","14"
"건설기계","03","146","9","66","131","3"
"건설기계","04","194","10","95","190","10"
"건설기계","05","202","8","123","224","10"
"건설기계","06","187","16","79","197","14"
"건설기계","07","150","5","96","136","25"
"건설기계","08","123","12","61","139","10"
"건설기계","09","181","10","94","179","7"
"건설기계","10","203","4","112","208","9"
"건설기계","11","215","10","103","205","11"
"건설기계","12","195","11","104","188","27"
"농기계","01","19","4","6","10","1"
"농기계","02","15","3","5","9","3"
"농기계","03","27","2","12","23","4"
"농기계","04","34","4","18","16","4"
"농기계","05","82","14","35","39","11"
"농기계","06","49","10","31","17","3"
"농기계","07","31","6","11","19","2"
"농기계","08","45","8","20","23","6"
"농기계","09","31","6","17","13","2"
"농기계","10","41","8","20","21","1"
"농기계","11","37","5","16","16","3"
"농기계","12","17","5","9","8","0"
"불명","01","265","1","63","183","44"
"불명","02","223","1","54","159","35"
"불명","03","354","0","88","267","68"
"불명","04","303","0","66","208","59"
"불명","05","350","1","77","242","75"
"불명","06","322","0","90","203","49"
"불명","07","334","2","80","227","67"
"불명","08","347","0","84","241","68"
"불명","09","324","3","68","226","67"
"불명","10","362","0","86","247","77"
"불명","11","351","0","79","244","71"
"불명","12","354","4","80","254","66"
