"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"사륜오토바이(ATV)","01","15","0","6","9","2"
"사륜오토바이(ATV)","02","27","3","12","13","2"
"사륜오토바이(ATV)","03","33","2","12","21","4"
"사륜오토바이(ATV)","04","31","5","14","11","6"
"사륜오토바이(ATV)","05","30","5","11","16","1"
"사륜오토바이(ATV)","06","32","7","14","13","0"
"사륜오토바이(ATV)","07","32","3","15","22","3"
"사륜오토바이(ATV)","08","37","4","15","23","8"
"사륜오토바이(ATV)","09","38","4","17","21","3"
"사륜오토바이(ATV)","10","26","2","11","10","8"
"사륜오토바이(ATV)","11","36","0","14","20","2"
"사륜오토바이(ATV)","12","17","2","8","7","2"
"원동기장치자전거","01","343","8","121","219","63"
"원동기장치자전거","02","341","11","101","253","52"
"원동기장치자전거","03","444","13","164","298","69"
"원동기장치자전거","04","440","13","158","289","82"
"원동기장치자전거","05","369","8","125","228","77"
"원동기장치자전거","06","341","10","102","227","63"
"원동기장치자전거","07","335","8","108","217","72"
"원동기장치자전거","08","331","11","125","217","58"
"원동기장치자전거","09","380","11","147","244","68"
"원동기장치자전거","10","308","10","110","229","57"
"원동기장치자전거","11","301","8","113","220","44"
"원동기장치자전거","12","224","10","75","145","46"
"자전거","01","249","8","83","112","55"
"자전거","02","244","4","74","129","51"
"자전거","03","406","9","115","205","100"
"자전거","04","485","8","152","258","96"
"자전거","05","618","16","188","308","157"
"자전거","06","673","8","215","344","158"
"자전거","07","554","16","192","281","119"
"자전거","08","539","21","158","282","124"
"자전거","09","667","15","203","350","145"
"자전거","10","585","7","183","301","137"
"자전거","11","439","9","125","216","112"
"자전거","12","200","5","57","105","42"
"개인형이동수단(PM)","02","2","0","1","1","0"
"개인형이동수단(PM)","03","4","0","1","2","1"
"개인형이동수단(PM)","04","4","0","0","5","0"
"개인형이동수단(PM)","05","15","0","9","6","1"
"개인형이동수단(PM)","06","7","1","2","4","2"
"개인형이동수단(PM)","07","13","1","3","8","3"
"개인형이동수단(PM)","08","17","1","4","11","2"
"개인형이동수단(PM)","09","15","0","3","9","4"
"개인형이동수단(PM)","10","18","0","5","14","1"
"개인형이동수단(PM)","11","18","1","7","9","2"
"개인형이동수단(PM)","12","4","0","0","2","2"
"건설기계","01","166","5","78","164","19"
"건설기계","02","170","10","68","157","13"
"건설기계","03","207","4","88","236","27"
"건설기계","04","226","12","66","220","8"
"건설기계","05","224","4","93","228","16"
"건설기계","06","206","5","114","217","16"
"건설기계","07","183","11","78","204","10"
"건설기계","08","206","12","81","240","8"
"건설기계","09","265","7","108","255","16"
"건설기계","10","200","9","70","202","8"
"건설기계","11","250","11","126","222","16"
"건설기계","12","173","6","67","186","12"
"농기계","01","18","2","9","13","0"
"농기계","02","14","0","10","9","1"
"농기계","03","25","2","12","16","1"
"농기계","04","34","2","14","21","2"
"농기계","05","79","11","24","59","5"
"농기계","06","45","8","14","27","2"
"농기계","07","34","7","13","16","4"
"농기계","08","44","8","18","25","5"
"농기계","09","48","7","15","26","7"
"농기계","10","60","11","23","41","2"
"농기계","11","39","6","22","24","1"
"농기계","12","10","1","3","7","0"
"기타","01","13","0","4","7","3"
"기타","02","7","0","4","1","2"
"기타","03","11","0","2","6","4"
"기타","04","15","0","4","15","3"
"기타","05","20","0","4","16","6"
"기타","06","13","0","2","8","3"
"기타","07","5","1","0","5","0"
"기타","08","18","2","3","22","7"
"기타","09","18","1","6","9","3"
"기타","10","15","1","8","13","0"
"기타","11","11","0","3","9","1"
"기타","12","14","1","3","13","3"
"불명","01","339","0","53","255","79"
"불명","02","254","0","47","181","52"
"불명","03","331","0","49","225","88"
"불명","04","350","0","49","260","73"
"불명","05","372","0","49","254","103"
"불명","06","387","0","59","245","101"
"불명","07","355","0","56","250","90"
"불명","08","376","0","71","260","94"
"불명","09","401","0","71","273","102"
"불명","10","400","0","49","283","104"
"불명","11","390","0","72","270","90"
"불명","12","415","0","65","307","87"
