"가해당사자종별","발생월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"승용차","01","12032","207","4265","13640","1060"
"승용차","02","10415","152","3689","11519","824"
"승용차","03","11402","139","4048","12343","877"
"승용차","04","11707","147","4151","12928","982"
"승용차","05","11804","147","4333","12828","986"
"승용차","06","11472","136","4108","12422","893"
"승용차","07","11873","162","4069","13543","1015"
"승용차","08","12278","154","4285","13830","1014"
"승용차","09","12546","209","4264","13694","1092"
"승용차","10","12219","198","4532","13668","964"
"승용차","11","12638","195","4237","14032","985"
"승용차","12","12655","202","4280","13941","1017"
"승합차","01","1051","32","467","1178","128"
"승합차","02","917","19","365","1007","158"
"승합차","03","1078","14","484","1085","132"
"승합차","04","1107","10","515","1252","172"
"승합차","05","1139","28","529","1212","142"
"승합차","06","1138","21","483","1194","143"
"승합차","07","1086","29","483","1180","125"
"승합차","08","1064","22","478","1212","95"
"승합차","09","1285","33","564","1419","174"
"승합차","10","1208","28","545","1464","164"
"승합차","11","1214","33","503","1250","134"
"승합차","12","1139","17","459","1182","161"
"화물차","01","1994","70","871","2053","152"
"화물차","02","1707","64","707","1800","94"
"화물차","03","2053","80","894","1973","125"
"화물차","04","2216","60","994","2241","142"
"화물차","05","2399","99","1017","2323","133"
"화물차","06","2319","66","980","2368","153"
"화물차","07","2260","88","888","2359","151"
"화물차","08","2365","77","987","2490","174"
"화물차","09","2659","85","1097","2732","195"
"화물차","10","2365","99","996","2496","195"
"화물차","11","2662","89","1129","2592","172"
"화물차","12","2342","84","897","2425","162"
"특수차","01","52","2","28","51","7"
"특수차","02","48","2","21","64","4"
"특수차","03","59","3","28","70","4"
"특수차","04","77","1","35","73","6"
"특수차","05","83","3","47","75","9"
"특수차","06","100","3","41","130","3"
"특수차","07","103","3","40","112","6"
"특수차","08","111","5","41","121","4"
"특수차","09","122","3","57","155","8"
"특수차","10","90","0","48","84","12"
"특수차","11","105","2","39","114","6"
"특수차","12","104","2","37","108","4"
"이륜차","01","698","19","234","458","153"
"이륜차","02","686","15","250","454","133"
"이륜차","03","994","29","371","677","189"
"이륜차","04","1025","35","358","665","210"
"이륜차","05","1350","45","455","940","255"
"이륜차","06","1314","50","444","888","252"
"이륜차","07","1325","28","442","908","272"
"이륜차","08","1296","36","447","875","248"
"이륜차","09","1447","44","563","1003","249"
"이륜차","10","1369","55","504","895","262"
"이륜차","11","1274","25","451","846","242"
"이륜차","12","952","25","313","623","191"
